epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,253.575,0.23931,0.24024,0.78451,0.99745,1,0.995,0.93584,0.31443,0.19214,0.80703,0.000371375,0.000371375,0.000371375
73,256.911,0.24356,0.24248,0.78827,0.99504,0.9991,0.995,0.93364,0.29711,0.19452,0.80487,0.000359,0.000359,0.000359
74,259.932,0.23636,0.23337,0.78517,0.99793,1,0.995,0.93308,0.31176,0.19263,0.80465,0.000346625,0.000346625,0.000346625
75,263.145,0.2265,0.22781,0.7805,0.99782,0.99982,0.995,0.93632,0.31376,0.19526,0.80485,0.00033425,0.00033425,0.00033425
76,266.294,0.23105,0.23025,0.78044,0.99606,0.99914,0.995,0.93771,0.2963,0.18779,0.8057,0.000321875,0.000321875,0.000321875
77,269.336,0.23428,0.22626,0.79118,0.99488,0.99684,0.995,0.93527,0.30215,0.18618,0.80685,0.0003095,0.0003095,0.0003095
78,272.389,0.23698,0.23668,0.79475,0.99306,1,0.995,0.93695,0.29855,0.18095,0.80855,0.000297125,0.000297125,0.000297125
79,275.6,0.24656,0.238,0.78957,0.99052,0.99929,0.995,0.9324,0.30565,0.19685,0.806,0.00028475,0.00028475,0.00028475
80,278.931,0.2281,0.2259,0.78976,0.99625,0.99974,0.995,0.92606,0.31758,0.19318,0.80839,0.000272375,0.000272375,0.000272375
81,282.589,0.23359,0.22785,0.78885,0.99141,0.99972,0.995,0.93618,0.29315,0.18676,0.80556,0.00026,0.00026,0.00026
82,286.481,0.22101,0.21813,0.78176,0.98747,0.99905,0.995,0.93539,0.29984,0.19382,0.80728,0.000247625,0.000247625,0.000247625
83,289.996,0.21647,0.2214,0.7902,0.99544,0.99574,0.995,0.94088,0.29685,0.1857,0.80516,0.00023525,0.00023525,0.00023525
84,293.758,0.21492,0.21526,0.78093,0.99486,0.99926,0.995,0.93632,0.30218,0.18995,0.80725,0.000222875,0.000222875,0.000222875
85,297.325,0.21701,0.21817,0.78056,0.9932,0.99936,0.995,0.93232,0.29492,0.178,0.80553,0.0002105,0.0002105,0.0002105
86,300.926,0.20973,0.20797,0.7805,0.98951,0.99956,0.995,0.93684,0.30461,0.18135,0.808,0.000198125,0.000198125,0.000198125
87,304.463,0.21308,0.20887,0.78103,0.9908,0.99983,0.995,0.93552,0.29908,0.18475,0.80541,0.00018575,0.00018575,0.00018575
88,308.079,0.22029,0.21046,0.78309,0.99356,0.99922,0.995,0.93633,0.30062,0.18318,0.80469,0.000173375,0.000173375,0.000173375
89,311.487,0.20393,0.20411,0.78191,0.99755,1,0.995,0.93766,0.30404,0.17705,0.80599,0.000161,0.000161,0.000161
90,315.123,0.20221,0.20423,0.78272,0.99645,0.99932,0.995,0.93846,0.29234,0.17708,0.80493,0.000148625,0.000148625,0.000148625
91,320.834,0.18404,0.19748,0.76865,0.99516,0.99912,0.995,0.93751,0.29505,0.17883,0.8061,0.00013625,0.00013625,0.00013625
92,324.748,0.17604,0.19481,0.75839,0.99749,0.99569,0.995,0.93648,0.29698,0.17881,0.80916,0.000123875,0.000123875,0.000123875
93,328.131,0.17395,0.19471,0.76473,0.99544,0.9949,0.9948,0.93647,0.29697,0.18406,0.80863,0.0001115,0.0001115,0.0001115
94,331.582,0.17257,0.18677,0.76217,0.99501,0.9949,0.9949,0.9369,0.29327,0.17539,0.80728,9.9125e-05,9.9125e-05,9.9125e-05
95,334.947,0.17355,0.18828,0.76597,0.99386,0.9949,0.9949,0.93604,0.29713,0.18081,0.80887,8.675e-05,8.675e-05,8.675e-05
96,337.866,0.174,0.1904,0.7641,0.99041,0.99516,0.9949,0.93659,0.29222,0.17505,0.80687,7.4375e-05,7.4375e-05,7.4375e-05
97,340.941,0.16524,0.1831,0.76944,0.99505,0.99906,0.995,0.9336,0.28981,0.16981,0.80621,6.2e-05,6.2e-05,6.2e-05
98,344.091,0.16302,0.18161,0.77205,0.99382,0.99617,0.995,0.93688,0.29048,0.16916,0.8067,4.9625e-05,4.9625e-05,4.9625e-05
99,347.409,0.16463,0.18055,0.7599,0.99104,0.99902,0.995,0.93867,0.29192,0.17294,0.80665,3.725e-05,3.725e-05,3.725e-05
100,350.757,0.16929,0.18188,0.76467,0.99066,0.99912,0.995,0.937,0.2927,0.17192,0.80663,2.4875e-05,2.4875e-05,2.4875e-05
