epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,252.693,0.29078,0.19065,0.13435,0.24757,0.81565,0.99738,1,0.995,0.9314,0.99228,0.9949,0.98898,0.9853,0.31526,0.09648,0.05907,0.2091,0.83305,0.000470375,0.000470375,0.000470375
65,256.803,0.2868,0.14416,0.13517,0.2333,0.80292,0.99666,1,0.995,0.9268,0.99157,0.9949,0.98816,0.98446,0.33049,0.09886,0.05909,0.20167,0.83483,0.000458,0.000458,0.000458
66,261.045,0.27182,0.13442,0.13011,0.22863,0.79619,0.99623,1,0.995,0.92774,0.99114,0.9949,0.98607,0.9817,0.31747,0.09691,0.0582,0.20095,0.83434,0.000445625,0.000445625,0.000445625
67,265.77,0.28896,0.18197,0.1305,0.24194,0.81282,0.99591,1,0.995,0.93703,0.99082,0.9949,0.98503,0.9814,0.31101,0.09802,0.05773,0.20149,0.83371,0.00043325,0.00043325,0.00043325
68,270.291,0.29119,0.18407,0.15573,0.24236,0.80979,0.99752,0.99999,0.995,0.92891,0.99243,0.99489,0.98689,0.98164,0.31044,0.10091,0.05626,0.20331,0.83462,0.000420875,0.000420875,0.000420875
69,274.269,0.27801,0.18041,0.12254,0.23313,0.80712,0.99817,0.99992,0.995,0.93621,0.99308,0.99482,0.98648,0.98206,0.31031,0.09612,0.05495,0.20817,0.83299,0.0004085,0.0004085,0.0004085
70,278.233,0.28607,0.16672,0.12117,0.23837,0.80496,0.99756,1,0.995,0.93112,0.99247,0.9949,0.98587,0.98192,0.31485,0.09649,0.0558,0.20591,0.8368,0.000396125,0.000396125,0.000396125
71,282.245,0.28475,0.14012,0.12753,0.2356,0.81329,0.9972,0.99902,0.995,0.93876,0.99208,0.99392,0.9875,0.98475,0.30547,0.09674,0.0554,0.20305,0.83224,0.00038375,0.00038375,0.00038375
72,285.824,0.27406,0.15812,0.13513,0.22955,0.8034,0.99791,1,0.995,0.93473,0.99282,0.9949,0.98867,0.98496,0.30308,0.09178,0.05421,0.20335,0.83328,0.000371375,0.000371375,0.000371375
73,289.707,0.27741,0.17111,0.13171,0.23208,0.8083,0.99811,1,0.995,0.92812,0.99302,0.9949,0.98816,0.98428,0.30661,0.09923,0.05313,0.20291,0.83342,0.000359,0.000359,0.000359
74,293.444,0.26565,0.15619,0.13828,0.21986,0.80279,0.99811,1,0.995,0.93232,0.99302,0.9949,0.9875,0.98372,0.29891,0.09599,0.05274,0.19317,0.83211,0.000346625,0.000346625,0.000346625
75,297.003,0.26038,0.15908,0.11565,0.2237,0.79611,0.99806,1,0.995,0.93293,0.99293,0.9949,0.98648,0.98301,0.30468,0.09618,0.05267,0.19986,0.8336,0.00033425,0.00033425,0.00033425
76,299.939,0.26778,0.17176,0.13217,0.2245,0.79793,0.99703,1,0.995,0.93308,0.99194,0.9949,0.98709,0.98443,0.29666,0.09342,0.05257,0.1929,0.83216,0.000321875,0.000321875,0.000321875
77,303.172,0.26513,0.18688,0.14874,0.22004,0.80279,0.99699,1,0.995,0.93362,0.9919,0.9949,0.98908,0.98615,0.3089,0.09116,0.05224,0.20095,0.83367,0.0003095,0.0003095,0.0003095
78,306.801,0.27072,0.17126,0.13095,0.22561,0.80995,0.99715,1,0.995,0.93157,0.99207,0.9949,0.98949,0.98663,0.30635,0.09186,0.05246,0.19767,0.8346,0.000297125,0.000297125,0.000297125
79,310.793,0.28237,0.1792,0.15145,0.23256,0.80657,0.99738,1,0.995,0.93164,0.99229,0.9949,0.98556,0.98177,0.29369,0.09436,0.05127,0.19747,0.8314,0.00028475,0.00028475,0.00028475
80,315.202,0.26288,0.13049,0.11155,0.21315,0.80803,0.99702,1,0.995,0.93085,0.99193,0.9949,0.98526,0.9819,0.31563,0.09086,0.05228,0.19395,0.83202,0.000272375,0.000272375,0.000272375
81,319.234,0.27392,0.19057,0.13774,0.21837,0.80881,0.9972,1,0.995,0.93088,0.9921,0.9949,0.98587,0.98255,0.29922,0.09035,0.05182,0.18474,0.83255,0.00026,0.00026,0.00026
82,323.07,0.25807,0.14577,0.13191,0.21255,0.79431,0.99784,1,0.995,0.93317,0.99275,0.9949,0.98607,0.98302,0.30812,0.09046,0.05182,0.19269,0.83357,0.000247625,0.000247625,0.000247625
83,327.464,0.25406,0.11973,0.13369,0.20919,0.80542,0.99802,1,0.995,0.93599,0.99292,0.9949,0.98648,0.98315,0.30854,0.09079,0.05206,0.19466,0.83324,0.00023525,0.00023525,0.00023525
84,331.538,0.25655,0.15611,0.13052,0.21159,0.79949,0.99816,1,0.995,0.93682,0.99307,0.9949,0.98648,0.98246,0.29645,0.08847,0.05063,0.19147,0.83208,0.000222875,0.000222875,0.000222875
85,335.479,0.25437,0.16267,0.13866,0.20904,0.79509,0.99822,1,0.995,0.92995,0.99313,0.9949,0.98699,0.98357,0.29208,0.08822,0.05055,0.18718,0.83203,0.0002105,0.0002105,0.0002105
86,339.443,0.24826,0.14729,0.1283,0.20922,0.79182,0.99845,1,0.995,0.93421,0.99336,0.9949,0.9873,0.98298,0.29455,0.08824,0.05036,0.18734,0.83176,0.000198125,0.000198125,0.000198125
87,343.368,0.2473,0.18166,0.1405,0.2074,0.79559,0.9983,1,0.995,0.93148,0.9932,0.9949,0.98719,0.98445,0.30322,0.0916,0.05018,0.19134,0.83358,0.00018575,0.00018575,0.00018575
88,347.58,0.25038,0.13698,0.13903,0.20448,0.7951,0.99797,1,0.995,0.93673,0.99288,0.9949,0.98668,0.98353,0.29772,0.08813,0.05022,0.18389,0.83211,0.000173375,0.000173375,0.000173375
89,351.897,0.2391,0.14939,0.13505,0.20013,0.79574,0.99882,1,0.995,0.93519,0.99366,0.9949,0.98536,0.98207,0.29688,0.08868,0.04966,0.18496,0.83277,0.000161,0.000161,0.000161
90,356.306,0.23654,0.17019,0.11662,0.19949,0.79673,0.99839,1,0.995,0.93897,0.99324,0.9949,0.98526,0.98179,0.29328,0.08953,0.0503,0.18653,0.83292,0.000148625,0.000148625,0.000148625
91,363.244,0.21868,0.07867,0.05759,0.19185,0.77981,0.99807,1,0.995,0.93771,0.99298,0.9949,0.98526,0.98264,0.28907,0.08904,0.0496,0.18428,0.83299,0.00013625,0.00013625,0.00013625
92,367.044,0.21464,0.07463,0.05676,0.18597,0.76951,0.99769,1,0.995,0.93507,0.9926,0.9949,0.98526,0.98271,0.29532,0.08843,0.04901,0.19099,0.83374,0.000123875,0.000123875,0.000123875
93,370.724,0.21153,0.0711,0.05646,0.18765,0.77682,0.99767,1,0.995,0.93717,0.99257,0.9949,0.98515,0.9826,0.29489,0.0877,0.04822,0.1862,0.83311,0.0001115,0.0001115,0.0001115
94,374.116,0.20381,0.07206,0.05587,0.1852,0.77255,0.99748,1,0.995,0.93395,0.99239,0.9949,0.98566,0.98308,0.29193,0.08735,0.04806,0.18769,0.83271,9.9125e-05,9.9125e-05,9.9125e-05
95,378.386,0.20742,0.06987,0.05475,0.18156,0.78052,0.99696,1,0.995,0.93505,0.99186,0.9949,0.98577,0.98316,0.29159,0.08667,0.0476,0.18514,0.83352,8.675e-05,8.675e-05,8.675e-05
96,382.127,0.21446,0.07125,0.05514,0.18689,0.77873,0.99666,1,0.995,0.9371,0.99157,0.9949,0.98587,0.98323,0.28972,0.08774,0.04713,0.18497,0.83291,7.4375e-05,7.4375e-05,7.4375e-05
